Country,ZONE,WEIGHT (KG),ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE R,ZONE S,ZONE T,ZONE U,ZONE V,ZONE W,ZONE X,Data_info
CANADA,A,0.5,12.14,16.38,14.08,17.2,19.79,15.17,18.18,12.14,16.38,13.21,13.29,13.97,15.47,23.79,19.12,13.97,"This CSV file contains shipping rates by weight and zones. Every country is assigned a zone code (letter like A, B, C, etc.). 
The 'weights' column shows the weight in kg, and the columns labeled 'ZONE X' contain the shipping cost in currency units for that weight and zone.
To find the shipping cost for a specific country, first identify its zone code, then find the appropriate weight row, and finally read the cost from the corresponding zone column.
"
CAMBODIA,B,1,13.99,18.88,16.22,19.82,22.8,17.47,20.96,13.99,18.88,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
EAST TIMOR,B,1.5,15.84,21.37,18.37,22.44,25.82,19.78,23.73,15.84,21.37,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
INDONESIA,B,2,17.69,23.87,20.51,25.05,28.83,22.09,26.5,17.69,23.87,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
LAOS,B,2.5,19.54,26.37,22.66,27.67,31.84,24.4,29.27,19.54,26.37,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
MACAU,B,3,21.39,28.86,24.8,30.29,34.85,26.71,32.04,21.39,28.86,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
MALAYSIA,B,3.5,23.24,31.36,26.95,32.91,37.86,29.02,34.81,23.24,31.36,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
PHILIPPINES,B,4,25.08,33.85,29.09,35.53,40.87,31.33,37.59,25.08,33.85,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
SOUTH KOREA,B,4.5,26.93,36.35,31.24,38.14,43.88,33.64,40.36,26.93,36.35,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
TAIWAN,B,5,28.78,38.85,33.38,40.76,46.89,35.94,43.13,28.78,38.85,13.21,13.29,13.97,15.47,23.79,19.12,13.97,
THAILAND,B,5.5,31.3,42.25,36.31,44.34,51,39.1,46.9,31.3,42.25,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
VIETNAM,B,6,33.83,45.66,39.24,47.91,55.12,42.25,50.68,33.83,45.66,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
ALGERIA,C,6.5,36.35,49.06,42.17,51.48,59.23,45.41,54.45,36.35,49.06,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
ARMENIA,C,7,38.87,52.47,45.1,55.05,63.34,48.56,58.23,38.87,52.47,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
AZERBAIJAN,C,7.5,41.39,55.88,48.03,58.62,67.46,51.71,62,41.39,55.88,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
BAHRAIN,C,8,43.91,59.28,50.97,62.2,71.57,54.87,65.78,43.91,59.28,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
BANGLADESH,C,8.5,46.44,62.69,53.9,65.77,75.68,58.02,69.56,46.44,62.69,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
BHUTAN,C,9,48.96,66.09,56.83,69.34,79.8,61.18,73.33,48.96,66.09,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
BRUNEI,C,9.5,51.48,69.5,59.76,72.91,83.91,64.33,77.11,51.48,69.5,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
EGYPT,C,10,54,72.91,62.69,76.49,88.02,67.48,80.88,54,72.91,15.78,17.57,19.03,21.35,35.38,21.68,19.03,
INDIA,C,10.5,56.52,76.31,65.41,80.06,92.14,70.49,84.66,56.52,76.31,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
ISRAEL,C,11,59.05,79.72,68.13,83.63,96.25,73.49,88.43,59.05,79.72,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
JORDAN,C,11.5,61.57,83.12,70.85,87.2,100.36,76.49,92.21,61.57,83.12,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
KUWAIT,C,12,64.09,86.53,73.57,90.78,104.48,79.49,95.98,64.09,86.53,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
LEBANON,C,12.5,66.61,89.94,76.3,94.35,108.59,82.5,99.76,66.61,89.94,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
LIBYA,C,13,69.13,93.34,79.02,97.92,112.7,85.5,103.53,69.13,93.34,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
MOROCCO,C,13.5,71.66,96.75,81.74,101.49,116.82,88.5,107.31,71.66,96.75,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
MYANMAR,C,14,74.18,100.15,84.46,105.07,120.93,91.51,111.08,74.18,100.15,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
NEPAL,C,14.5,76.7,103.56,87.19,108.64,125.04,94.51,114.86,76.7,103.56,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
OMAN,C,15,79.22,106.97,89.91,112.21,129.15,97.51,118.63,79.22,106.97,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
PAKISTAN,C,15.5,81.74,110.37,92.63,115.78,133.27,100.52,122.41,81.74,110.37,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
PALESTINE AUTHORITY,C,16,84.27,113.78,95.35,119.36,137.38,103.52,126.18,84.27,113.78,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
QATAR,C,16.5,86.79,117.18,98.07,122.93,141.49,106.52,129.96,86.79,117.18,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
SAUDI ARABIA,C,17,89.31,120.59,100.8,126.5,145.61,109.52,133.73,89.31,120.59,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
SRI LANKA,C,17.5,91.83,124,103.52,130.07,149.72,112.53,137.51,91.83,124,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
SYRIA,C,18,94.35,127.4,106.24,133.65,153.83,115.53,141.28,94.35,127.4,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
TUNISIA,C,18.5,96.88,130.81,108.96,137.22,157.95,118.53,145.06,96.88,130.81,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
U.A.E.,C,19,99.4,134.21,111.69,140.79,162.06,121.54,148.83,99.4,134.21,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
YEMEN,C,19.5,101.92,137.62,114.41,144.36,166.17,124.54,152.61,101.92,137.62,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
ANGUILLA,D,20,104.44,141.03,117.13,147.93,170.29,127.54,156.38,104.44,141.03,20.07,22.33,23.73,26.37,42.07,25.98,23.73,
ANTIGUA,D,20.5,106.96,144.43,119.85,151.51,174.4,130.55,160.16,106.96,144.43,24.84,26.96,28.27,31.23,49.12,30.74,28.27,
ARGENTINA,D,21,109.33,147.39,122.31,154.61,177.97,133.29,163.45,109.33,147.39,24.84,26.96,28.27,31.23,49.12,30.74,28.27,
ARUBA,D,21.5,111.7,150.34,124.78,157.71,181.54,136.04,166.74,111.7,150.34,24.84,26.96,28.27,31.23,49.12,30.74,28.27,
BAHAMAS,D,22,114.06,153.29,127.24,160.81,185.12,138.79,170.03,114.06,153.29,24.84,26.96,28.27,31.23,49.12,30.74,28.27,
