Country,Zone Code,weights,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE R,ZONE S,ZONE T,ZONE U,ZONE V,ZONE W,ZONE X,Service_Type
CANADA,A,0.5,17.56,29.82,20.37,25.16,37.01,24.22,34.03,17.56,29.82,14.53,14.61,15.37,17.02,26.17,21.02,15.37,"This CSV file contains shipping rates by weight and zones. Every country is assigned a zone code (letter like A, B, C, etc.). 
The 'weights' column shows the weight in kg, and the columns labeled 'ZONE X' contain the shipping cost in currency units for that weight and zone.
To find the shipping cost for a specific country, first identify its zone code, then find the appropriate weight row, and finally read the cost from the corresponding zone column."
CAMBODIA,B,1,21.85,34.78,25.34,31.16,43,28.21,39.53,21.85,34.78,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
EAST TIMOR,B,1.5,26.13,39.73,30.31,37.16,48.98,32.2,45.02,26.13,39.73,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
INDONESIA,B,2,30.41,44.69,35.28,43.16,54.97,36.19,50.52,30.41,44.69,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
LAOS,B,2.5,34.7,49.64,40.25,49.16,60.96,40.18,56.02,34.7,49.64,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
MACAU,B,3,36.86,57.81,42.79,52.28,71.43,44.16,65.64,36.86,57.81,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
MALAYSIA,B,3.5,39.02,65.97,45.32,55.4,81.91,48.14,75.27,39.02,65.97,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
PHILIPPINES,B,4,41.18,74.14,47.86,58.51,92.38,52.12,84.89,41.18,74.14,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
SOUTH KOREA,B,4.5,43.34,82.3,50.39,61.63,102.85,56.11,94.51,43.34,82.3,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
TAIWAN,B,5,45.5,90.46,52.93,64.75,113.32,60.09,104.14,45.5,90.46,14.53,14.61,15.37,17.02,26.17,21.02,15.37,
THAILAND,B,5.5,48.16,94.22,56.02,68.5,117.85,63.73,108.3,48.16,94.22,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
VIETNAM,B,6,50.81,97.97,59.11,72.26,122.38,67.38,112.46,50.81,97.97,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
ALGERIA,C,6.5,53.47,101.73,62.19,76.01,126.9,71.02,116.62,53.47,101.73,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
ARMENIA,C,7,56.12,105.48,65.28,79.77,131.43,74.66,120.79,56.12,105.48,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
AZERBAIJAN,C,7.5,58.78,109.24,68.37,83.52,135.96,78.3,124.95,58.78,109.24,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
BAHRAIN,C,8,61.43,112.99,71.46,87.27,140.48,81.95,129.11,61.43,112.99,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
BANGLADESH,C,8.5,64.08,116.75,74.55,91.03,145.01,85.59,133.27,64.08,116.75,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
BHUTAN,C,9,66.74,120.5,77.64,94.78,149.54,89.23,137.44,66.74,120.5,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
BRUNEI,C,9.5,69.39,124.25,80.73,98.54,154.06,92.87,141.6,69.39,124.25,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
EGYPT,C,10,72.05,128.01,83.82,102.29,158.59,96.52,145.76,72.05,128.01,17.36,19.32,20.94,23.48,38.92,23.85,20.94,
INDIA,C,10.5,74.7,131.51,86.6,106.05,162.82,99.63,149.65,74.7,131.51,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
ISRAEL,C,11,77.36,135.01,89.39,109.8,167.06,102.74,153.53,77.36,135.01,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
JORDAN,C,11.5,80.01,138.51,92.18,113.55,171.3,105.85,157.41,80.01,138.51,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
KUWAIT,C,12,82.67,142.01,94.96,117.31,175.53,108.97,161.3,82.67,142.01,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
LEBANON,C,12.5,85.32,145.51,97.75,121.06,179.77,112.08,165.18,85.32,145.51,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
LIBYA,C,13,87.98,149.01,100.54,124.82,184,115.19,169.07,87.98,149.01,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
MOROCCO,C,13.5,90.63,152.51,103.33,128.57,188.24,118.3,172.95,90.63,152.51,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
MYANMAR,C,14,93.29,156.01,106.11,132.33,192.47,121.41,176.84,93.29,156.01,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
NEPAL,C,14.5,95.94,159.5,108.9,136.08,196.71,124.53,180.72,95.94,159.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
OMAN,C,15,98.59,163,111.69,139.84,200.94,127.64,184.61,98.59,163,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
PAKISTAN,C,15.5,101.25,166.5,114.48,143.59,205.18,130.75,188.49,101.25,166.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
PALESTINE AUTHORITY,C,16,103.9,170,117.26,147.34,209.41,133.86,192.37,103.9,170,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
QATAR,C,16.5,106.56,173.5,120.05,151.1,213.65,136.98,196.26,106.56,173.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
SAUDI ARABIA,C,17,109.21,177,122.84,154.85,217.89,140.09,200.14,109.21,177,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
SRI LANKA,C,17.5,111.87,180.5,125.62,158.61,222.12,143.2,204.03,111.87,180.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
SYRIA,C,18,114.52,184,128.41,162.36,226.36,146.31,207.91,114.52,184,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
TUNISIA,C,18.5,117.18,187.5,131.2,166.12,230.59,149.42,211.8,117.18,187.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
U.A.E.,C,19,119.83,191,133.99,169.87,234.83,152.54,215.68,119.83,191,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
YEMEN,C,19.5,122.49,194.5,136.77,173.63,239.06,155.65,219.56,122.49,194.5,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
ANGUILLA,D,20,125.14,198,139.56,177.38,243.3,158.76,223.45,125.14,198,22.08,24.56,26.1,29.01,46.28,28.57,26.1,
ANTIGUA,D,20.5,127.8,201.5,142.35,181.13,247.53,161.87,227.33,127.8,201.5,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
ARGENTINA,D,21,130.28,204.76,145.07,184.39,251.45,164.86,230.96,130.28,204.76,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
ARUBA,D,21.5,132.77,208.02,147.79,187.64,255.37,167.85,234.58,132.77,208.02,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BAHAMAS,D,22,135.25,211.28,150.51,190.89,259.3,170.84,238.2,135.25,211.28,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BARBADOS,D,22.5,137.74,214.54,153.24,194.14,263.22,173.83,241.82,137.74,214.54,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BELIZE,D,23,140.22,217.8,155.96,197.4,267.14,176.82,245.44,140.22,217.8,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BERMUDA,D,23.5,142.71,221.06,158.68,200.65,271.06,179.81,249.06,142.71,221.06,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BOLIVIA,D,24,145.19,224.32,161.4,203.9,274.98,182.8,252.69,145.19,224.32,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BONAIRE,D,24.5,147.68,227.58,164.12,207.15,278.9,185.79,256.31,147.68,227.58,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BRAZIL,D,25,150.17,230.84,166.85,210.41,282.82,188.78,259.93,150.17,230.84,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
BRITISH VIRGIN IS.,D,25.5,152.65,234.1,169.57,213.66,286.74,191.77,263.55,152.65,234.1,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
CAYMAN ISLANDS,D,26,155.14,237.36,172.29,216.91,290.66,194.76,267.17,155.14,237.36,27.32,29.66,31.09,34.36,54.04,33.81,31.09,
