Country,ZONE,Weight,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE R,ZONE S,ZONE T,ZONE U,ZONE V,ZONE W,ZONE X,Service_Type
CANADA,A,0.5,14.26,19.23,16.53,20.45,23.52,17.81,21.62,14.26,19.23,9.05,9.69,11.63,11.68,17.12,14,11.63,"This CSV file contains shipping rates by weight and zones. Every country is assigned a zone code (letter like A, B, C, etc.). 
The 'weights' column shows the weight in kg, and the columns labeled 'ZONE X' contain the shipping cost in currency units for that weight and zone.
To find the shipping cost for a specific country, first identify its zone code, then find the appropriate weight row, and finally read the cost from the corresponding zone column.
"
CAMBODIA,B,1,16.44,22.17,19.06,23.51,27.05,20.53,24.85,16.44,22.17,10.75,11.64,14.4,14.57,21.34,15.7,14.4,
EAST TIMOR,B,1.5,18.62,25.1,21.59,26.57,30.57,23.25,28.09,18.62,25.1,12.46,13.6,17.16,17.46,25.57,17.41,17.16,
INDONESIA,B,2,20.79,28.04,24.11,29.63,34.09,25.97,31.32,20.79,28.04,14.17,15.55,19.93,20.35,29.79,19.12,19.93,
LAOS,B,2.5,22.97,30.97,26.64,32.7,37.61,28.69,34.56,22.97,30.97,15.88,17.51,22.69,23.24,34.02,20.83,22.69,
MACAU,B,3,25.14,33.91,29.17,35.76,41.13,31.41,37.79,25.14,33.91,17.19,19.09,24.93,25.63,37.38,22.2,24.93,
MALAYSIA,B,3.5,27.32,36.84,31.7,38.82,44.65,34.13,41.03,27.32,36.84,18.49,20.68,27.16,28.01,40.74,23.57,27.16,
PHILIPPINES,B,4,29.5,39.78,34.22,41.89,48.17,36.85,44.26,29.5,39.78,19.8,22.26,29.4,30.4,44.1,24.95,29.4,
SOUTH KOREA,B,4.5,31.67,42.72,36.75,44.95,51.69,39.57,47.49,31.67,42.72,21.11,23.84,31.63,32.79,47.46,26.32,31.63,
TAIWAN,B,5,33.85,45.65,39.28,48.01,55.21,42.29,50.73,33.85,45.65,22.42,25.43,33.87,35.18,50.82,27.69,33.87,
THAILAND,B,5.5,36.82,49.66,42.72,52.22,60.05,46,55.18,36.82,49.66,23.48,26.78,35.6,37.15,53.07,28.72,35.6,
VIETNAM,B,6,39.79,53.67,46.16,56.43,64.89,49.71,59.63,39.79,53.67,24.53,28.14,37.32,39.12,55.32,29.75,37.32,
ALGERIA,C,6.5,42.76,57.68,49.6,60.63,69.72,53.42,64.07,42.76,57.68,25.59,29.5,39.05,41.09,57.57,30.78,39.05,
ARMENIA,C,7,45.73,61.69,53.04,64.84,74.56,57.13,68.52,45.73,61.69,26.65,30.85,40.78,43.06,59.82,31.81,40.78,
AZERBAIJAN,C,7.5,48.7,65.7,56.48,69.05,79.4,60.84,72.97,48.7,65.7,27.71,32.21,42.5,45.02,62.07,32.84,42.5,
BAHRAIN,C,8,51.66,69.71,59.92,73.25,84.24,64.55,77.42,51.66,69.71,28.77,33.57,44.23,46.99,64.32,33.87,44.23,
BANGLADESH,C,8.5,54.63,73.72,63.36,77.46,89.08,68.26,81.87,54.63,73.72,29.82,34.93,45.95,48.96,66.57,34.9,45.95,
BHUTAN,C,9,57.6,77.72,66.8,81.67,93.92,71.97,86.32,57.6,77.72,30.88,36.28,47.68,50.93,68.82,35.93,47.68,
BRUNEI,C,9.5,60.57,81.73,70.24,85.87,98.76,75.68,90.77,60.57,81.73,31.94,37.64,49.41,52.9,71.07,36.96,49.41,
EGYPT,C,10,63.54,85.74,73.68,90.08,103.59,79.39,95.21,63.54,85.74,33,39,51.13,54.87,73.31,37.99,51.13,
INDIA,C,10.5,66.51,89.75,76.88,94.29,108.43,82.96,99.66,66.51,89.75,34.08,40.34,52.88,56.77,75.21,39.08,52.88,
ISRAEL,C,11,69.48,93.76,80.09,98.49,113.27,86.52,104.11,69.48,93.76,35.16,41.69,54.62,58.67,77.11,40.17,54.62,
