Country,ZONE,Weight,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE R,ZONE S,ZONE T,ZONE U,ZONE V,ZONE W,ZONE X,Service_Type
CANADA,A,0.5,20.66,35.08,24,29.67,43.54,28.86,40.03,20.66,35.08,9.93,10.59,12.77,12.82,18.58,15.38,12.77,"This CSV file contains shipping rates by weight and zones. Every country is assigned a zone code (letter like A, B, C, etc.). 
The 'weights' column shows the weight in kg, and the columns labeled 'ZONE X' contain the shipping cost in currency units for that weight and zone.
To find the shipping cost for a specific country, first identify its zone code, then find the appropriate weight row, and finally read the cost from the corresponding zone column.
"
CAMBODIA,B,1,25.7,40.91,29.78,36.71,50.58,33.45,46.5,25.7,40.91,11.8,12.77,15.79,16,23.26,17.25,15.79,
EAST TIMOR,B,1.5,30.73,46.74,35.57,43.75,57.62,38.05,52.97,30.73,46.74,13.68,14.96,18.81,19.17,27.95,19.11,18.81,
INDONESIA,B,2,35.76,52.57,41.35,50.79,64.65,42.65,59.44,35.76,52.57,15.55,17.14,21.83,22.34,32.63,20.98,21.83,
LAOS,B,2.5,40.8,58.41,47.14,57.83,71.69,47.24,65.91,40.8,58.41,17.43,19.32,24.86,25.51,37.31,22.85,24.86,
MACAU,B,3,43.39,68.02,50.2,61.5,84.01,51.94,77.24,43.39,68.02,18.86,20.97,27.32,28.11,40.99,24.3,27.32,
MALAYSIA,B,3.5,45.98,77.63,53.27,65.16,96.33,56.64,88.57,45.98,77.63,20.3,22.63,29.79,30.72,44.67,25.75,29.79,
PHILIPPINES,B,4,48.57,87.24,56.34,68.83,108.65,61.34,99.9,48.57,87.24,21.73,24.28,32.25,33.32,48.34,27.2,32.25,
SOUTH KOREA,B,4.5,51.15,96.86,59.41,72.5,120.97,66.04,111.23,51.15,96.86,23.17,25.93,34.72,35.92,52.02,28.65,34.72,
TAIWAN,B,5,53.74,106.47,62.48,76.16,133.29,70.74,122.55,53.74,106.47,24.6,27.59,37.18,38.52,55.69,30.1,37.18,
THAILAND,B,5.5,56.86,110.88,65.96,80.58,138.61,75.02,127.44,56.86,110.88,25.77,29.12,39.08,40.7,58.17,31.26,39.08,
VIETNAM,B,6,59.98,115.3,69.44,85,143.93,79.3,132.33,59.98,115.3,26.93,30.65,40.99,42.88,60.66,32.42,40.99,
ALGERIA,C,6.5,63.1,119.71,72.93,89.41,149.25,83.58,137.23,63.1,119.71,28.09,32.19,42.89,45.05,63.14,33.59,42.89,
ARMENIA,C,7,66.21,124.13,76.41,93.83,154.58,87.86,142.12,66.21,124.13,29.25,33.72,44.79,47.23,65.62,34.75,44.79,
AZERBAIJAN,C,7.5,69.33,128.54,79.9,98.25,159.9,92.15,147.01,69.33,128.54,30.41,35.26,46.7,49.41,68.1,35.91,46.7,
BAHRAIN,C,8,72.45,132.96,83.38,102.67,165.22,96.43,151.9,72.45,132.96,31.58,36.79,48.6,51.58,70.58,37.07,48.6,
BANGLADESH,C,8.5,75.57,137.37,86.86,107.08,170.54,100.71,156.79,75.57,137.37,32.74,38.32,50.5,53.76,73.06,38.24,50.5,
BHUTAN,C,9,78.68,141.79,90.35,111.5,175.86,104.99,161.68,78.68,141.79,33.9,39.86,52.41,55.93,75.54,39.4,52.41,
BRUNEI,C,9.5,81.8,146.2,93.83,115.92,181.19,109.28,166.57,81.8,146.2,35.06,41.39,54.31,58.11,78.02,40.56,54.31,
EGYPT,C,10,84.92,150.62,97.32,120.34,186.51,113.56,171.46,84.92,150.62,36.23,42.93,56.21,60.29,80.5,41.72,56.21,
INDIA,C,10.5,88.04,154.73,100.67,124.75,191.47,117.22,176.05,88.04,154.73,37.4,44.39,58.1,62.37,82.56,42.9,58.1,
